TaskID,Period,0-A-2,1-A-2,2-A-2,3-A-2,4-A-2,5-A-2,6-A-2,7-A-2,0-A-1,1-A-1,2-A-1,3-A-1,4-A-1,5-A-1,6-A-1,7-A-1,0-A-0,1-A-0,2-A-0,3-A-0,4-A-0,5-A-0,6-A-0,7-A-0,0-B-2,1-B-2,2-B-2,3-B-2,4-B-2,5-B-2,6-B-2,7-B-2,0-B-1,1-B-1,2-B-1,3-B-1,4-B-1,5-B-1,6-B-1,7-B-1,0-B-0,1-B-0,2-B-0,3-B-0,4-B-0,5-B-0,6-B-0,7-B-0,0-C-2,1-C-2,2-C-2,3-C-2,4-C-2,5-C-2,6-C-2,7-C-2,0-C-1,1-C-1,2-C-1,3-C-1,4-C-1,5-C-1,6-C-1,7-C-1,0-C-0,1-C-0,2-C-0,3-C-0,4-C-0,5-C-0,6-C-0,7-C-0
9,40,0.5,0.65,0.85,0.94,0.94,1.2,0.75,0.84,0.625,0.8125,1.0625,1.175,1.175,1.5,0.9375,1.05,0.75,0.975,1.275,1.41,1.41,1.8,1.125,1.26,0.25,0.325,0.425,0.47,0.47,0.6,0.375,0.42,0.3125,0.40625,0.53125,0.5875,0.5875,0.75,0.46875,0.525,0.375,0.4875,0.6375,0.705,0.705,0.9,0.5625,0.63,0.125,0.1625,0.2125,0.235,0.235,0.3,0.1875,0.21,0.15625,0.203125,0.265625,0.29375,0.29375,0.375,0.234375,0.2625,0.1875,0.24375,0.31875,0.3525,0.3525,0.45,0.28125,0.315
10,80,0.65,0.6,1.16,0.67,1.19,0.79,1.39,0.61,0.8125,0.75,1.45,0.8375,1.4875,0.9875,1.7375,0.7625,0.975,0.9,1.74,1.005,1.785,1.185,2.085,0.915,0.325,0.3,0.58,0.335,0.595,0.395,0.695,0.305,0.40625,0.375,0.725,0.41875,0.74375,0.49375,0.86875,0.38125,0.4875,0.45,0.87,0.5025,0.8925,0.5925,1.0425,0.4575,0.1625,0.15,0.29,0.1675,0.2975,0.1975,0.3475,0.1525,0.203125,0.1875,0.3625,0.209375,0.371875,0.246875,0.434375,0.190625,0.24375,0.225,0.435,0.25125,0.44625,0.29625,0.52125,0.22875
11,160,0.85,1.16,0.7,1.17,0.82,1.36,1.65,0.79,1.0625,1.45,0.875,1.4625,1.025,1.7,2.0625,0.9875,1.275,1.74,1.05,1.755,1.23,2.04,2.475,1.185,0.425,0.58,0.35,0.585,0.41,0.68,0.825,0.395,0.53125,0.725,0.4375,0.73125,0.5125,0.85,1.03125,0.49375,0.6375,0.87,0.525,0.8775,0.615,1.02,1.2375,0.5925,0.2125,0.29,0.175,0.2925,0.205,0.34,0.4125,0.1975,0.265625,0.3625,0.21875,0.365625,0.25625,0.425,0.515625,0.246875,0.31875,0.435,0.2625,0.43875,0.3075,0.51,0.61875,0.29625
12,40,0.94,0.67,1.17,0.8,1.33,1.84,1.92,1.96,1.175,0.8375,1.4625,1,1.6625,2.3,2.4,2.45,1.41,1.005,1.755,1.2,1.995,2.76,2.88,2.94,0.47,0.335,0.585,0.4,0.665,0.92,0.96,0.98,0.5875,0.41875,0.73125,0.5,0.83125,1.15,1.2,1.225,0.705,0.5025,0.8775,0.6,0.9975,1.38,1.44,1.47,0.235,0.1675,0.2925,0.2,0.3325,0.46,0.48,0.49,0.29375,0.209375,0.365625,0.25,0.415625,0.575,0.6,0.6125,0.3525,0.25125,0.43875,0.3,0.49875,0.69,0.72,0.735
13,40,0.94,1.19,0.82,1.33,0.9,1.88,1.27,2.1,1.175,1.4875,1.025,1.6625,1.125,2.35,1.5875,2.625,1.41,1.785,1.23,1.995,1.35,2.82,1.905,3.15,0.47,0.595,0.41,0.665,0.45,0.94,0.635,1.05,0.5875,0.74375,0.5125,0.83125,0.5625,1.175,0.79375,1.3125,0.705,0.8925,0.615,0.9975,0.675,1.41,0.9525,1.575,0.235,0.2975,0.205,0.3325,0.225,0.47,0.3175,0.525,0.29375,0.371875,0.25625,0.415625,0.28125,0.5875,0.396875,0.65625,0.3525,0.44625,0.3075,0.49875,0.3375,0.705,0.47625,0.7875
14,160,1.2,0.79,1.36,1.84,1.88,1,1.3,3.03,1.5,0.9875,1.7,2.3,2.35,1.25,1.625,3.7875,1.8,1.185,2.04,2.76,2.82,1.5,1.95,4.545,0.6,0.395,0.68,0.92,0.94,0.5,0.65,1.515,0.75,0.49375,0.85,1.15,1.175,0.625,0.8125,1.89375,0.9,0.5925,1.02,1.38,1.41,0.75,0.975,2.2725,0.3,0.1975,0.34,0.46,0.47,0.25,0.325,0.7575,0.375,0.246875,0.425,0.575,0.5875,0.3125,0.40625,0.946875,0.45,0.29625,0.51,0.69,0.705,0.375,0.4875,1.13625
15,80,0.75,1.39,1.65,1.92,1.27,1.3,1.1,2.12,0.9375,1.7375,2.0625,2.4,1.5875,1.625,1.375,2.65,1.125,2.085,2.475,2.88,1.905,1.95,1.65,3.18,0.375,0.695,0.825,0.96,0.635,0.65,0.55,1.06,0.46875,0.86875,1.03125,1.2,0.79375,0.8125,0.6875,1.325,0.5625,1.0425,1.2375,1.44,0.9525,0.975,0.825,1.59,0.1875,0.3475,0.4125,0.48,0.3175,0.325,0.275,0.53,0.234375,0.434375,0.515625,0.6,0.396875,0.40625,0.34375,0.6625,0.28125,0.52125,0.61875,0.72,0.47625,0.4875,0.4125,0.795
16,80,0.84,0.61,0.79,1.96,2.1,3.03,2.12,1.2,1.05,0.7625,0.9875,2.45,2.625,3.7875,2.65,1.5,1.26,0.915,1.185,2.94,3.15,4.545,3.18,1.8,0.42,0.305,0.395,0.98,1.05,1.515,1.06,0.6,0.525,0.38125,0.49375,1.225,1.3125,1.89375,1.325,0.75,0.63,0.4575,0.5925,1.47,1.575,2.2725,1.59,0.9,0.21,0.1525,0.1975,0.49,0.525,0.7575,0.53,0.3,0.2625,0.190625,0.246875,0.6125,0.65625,0.946875,0.6625,0.375,0.315,0.22875,0.29625,0.735,0.7875,1.13625,0.795,0.45
